Stream,Number of People
"Event Coordination & Community Engagement – Event planning, logistics, community management.",83
"Research & Documentation – Data collection, reports, surveys.",67
"Social Media & Content Creation – Videos, reels, campaigns.",57
"Graphic Design & Animation – Posters, explainer graphics, motion design.",53
"Admin & Task Support – Organization, reporting, checklists.",52
"Writing & Storytelling – Blogs, articles, reviews, thought pieces.",45
"Software Engineering (strict entry) – Coding, app development.",41
"E-Learning – Course design, digital content",37
Product Testing – Feedback on new tools and products.,32
"Blockchain & Web3 – Research, product support",31
Special/Emerging Projects – New opportunities as approved.,25
Mechanical/Automobile Engineering (strict entry).,9
"Telecoms Engineering (with IHS Towers, strict entry).",8
